total,child,id,pais
GOVERNMENT PROCUREMENT,"Korea is a Party to the WTO Agreement on Government Procurement (GPA). Korea has made commitments to open its government procurement to U.S. suppliers under the revised GPA and KORUS. KORUS provides U.S. suppliers significantly expanded access to central government procurements through a substantially lower threshold for eligible central government procurement contracts of goods and services than exists in the WTO GPA ($100,000 versus the current GPA threshold of $182,000). While KORUS",34,KOREA
INTELLECTUAL PROPERTY PROTECTION,"In general, Korea has a strong regime of intellectual property (IP) protection and enforcement. Under KORUS, Korea agreed to strong enforcement provisions for various types of IP rights and agreed to join key multilateral IP agreements. Moreover, the Korean Government prioritizes IP protection, as Korea is a significant creator of IP. Nevertheless, some IP-related concerns remain, including with respect to: the transshipment of counterfeit goods, especially via small express-shipped parcels; geographical indications; collective rights management and statutory license fees for digital music services; and a lack of civil and criminal penalties sufficient to deter IP violations. The United States continues to work with Korea to improve these areas. In January 2021, amendments to the Copyright Act were introduced in the National Assembly. Stakeholders have expressed concerns over the amendments, including in the areas of collective licensing; a lack of clarity concerning the scope and application of and possible extensions to the digital audio transmission right; the introduction of portrait rights into the Copyright Act; and possible restrictions on the freedom to contract. The United States continues to engage with Korea on the proposed amendments and urge Korea to ensure that interested stakeholders have meaningful opportunities to provide input.",34,KOREA
SERVICES BARRIERS,Audiovisual Services,34,KOREA
Audiovisual Services,"In Korea, foreign programs may not exceed 20 percent of terrestrial television or radio broadcast time or 50 percent of cable or satellite broadcast time in either the first half or second half of the year. Within those overall quotas, Korea further limits broadcast time for foreign films to 75 percent of all films for terrestrial broadcasts and 80 percent for cable and satellite broadcasts. Foreign animation is limited to 55 percent of all animation content for terrestrial broadcast and 70 percent of all animation content for cable and satellite broadcasts. Foreign-produced popular music is limited to 40 percent of all broadcast music content. Another six-month quota limits content from any one country to 80 percent of the total quota available to foreign films, animation, or music. KORUS protects against quota increases in the allocation to domestic content and ensures that new platforms, such as online video and streaming music, are not subject to these legacy limits. Korea also maintains a screen quota for domestic films shown in theaters, requiring local movie screens show domestic films at least 73 days per year. The Broadcasting Act contains restrictions on voiceovers (dubbing) and local advertising for channels retransmitting foreign content. These prohibitions continue to be of concern to U.S. stakeholders as they diminish the value of such channels in the Korean market.",34,KOREA
Financial Services and Insurance Services,"To implement its commitments related to the transfer of information under KORUS and the Korea– European Union Free Trade Agreement, Korea adopted regulations in 2013 governing the outsourcing of FOREIGN TRADE BARRIERS | 329 data and information technology (IT) facilities to allow financial institutions located in Korea to transfer data to affiliates outside Korea and to allow affiliates outside Korea to perform certain data processing and other functions. Stakeholders raised concerns about strict new rules and enhanced penalties governing data privacy under the May 2014 Act on Promotion of Information and Communications Network Utilization and Information Protection. In June 2015, the Financial Services Commission (FSC), taking into consideration industry concerns, revised its Regulations on Financial Institutions’ Outsourcing of Data Processing Business and IT Facilities to: eliminate the approval process for the outsourcing of IT facilities; lift restrictions on third-party outsourcing or re-outsourcing; establish a broader application of",34,KOREA
Franchising Services,"U.S. stakeholders have raised concerns for years about the activities of the Korea Commission for Corporate Partnership (KCCP) (formerly known as the National Commission on Corporate Partnership), which imposes restrictions on the expansion of U.S. brands that partner with Korean conglomerates. The KCCP",34,KOREA
Professional Services,"Since 2013, Korea has taken steps to open its legal services market as outlined in KORUS. The first step was to create a legal status for foreign legal consultants and allow foreign law firms to open foreign legal consultant (FLC) offices in Korea. The Foreign Legal Consultants Act allowed foreign attorneys with a 330 | FOREIGN TRADE BARRIERS",34,KOREA
Telecommunications Services,"Korea prohibits foreign satellite service providers from selling services (e.g., transmission capacity) directly to end-users without going through a company established in Korea. Given existing investment restrictions and the fact that establishing a local presence may not be economically justified, this prohibition significantly restricts the ability of foreign satellite service suppliers to compete in the Korean market. The United States will continue to raise this issue with Korea.",34,KOREA
BARRIERS TO DIGITAL TRADE AND ELECTRONIC COMMERCE,Data Localization Requirements,34,KOREA
Data Localization Requirements,Cross-Border Transfer of Data,34,KOREA
Electronic Commerce Policies,"Under the Regulation on Supervision of Credit-Specialized Financial Business, electronic commerce firms operating on a cross-border basis have been prevented from either selling in Korean won or storing domestic consumers’ credit card information unless they have registered in Korea as a Payment Gateway (PG) supplier or use a local PG company service for won-denominated transactions. In the absence of a PG",34,KOREA
INVESTMENT BARRIERS,"U.S. investors have raised concerns about possible discrimination and lack of transparency in investment- related regulatory decisions in Korea, including decisions by tax authorities. Foreign investment is not permitted in terrestrial broadcast TV operations. For both cable and satellite broadcasting services, foreign participation is limited to 49 percent. Since March 2015, Korea has permitted U.S. investors to hold up to 100 percent of the equity interest in a program provider not engaged in news reporting, multi-genre programming, or home shopping, but foreign cable/satellite retransmission channels are limited to 20 percent of the total number of operating channels. In addition to the restrictions in telecommunications and key services sectors, Korea maintains other restrictions on foreign investment, including a prohibition on foreign investment in rice and barley farming and a 50 percent foreign equity limitation for enterprises engaged in meat wholesaling. Firms that generate, distribute, and sell electric power, as well as those that publish periodicals other than newspapers are also restricted. Electric power generation and enterprises publishing daily newspapers are subject to a 30 percent foreign equity limitation. News agencies are subject to a 25 percent foreign equity limitation.",34,KOREA
ANTICOMPETITIVE PRACTICES,"The Korea Fair Trade Commission (KFTC) has a broad mandate that includes promoting competition, strengthening consumers’ rights, creating a competitive environment for SMEs, and restraining the concentration of economic power. In addition to its authority to conduct investigations, including authority over corporate and financial restructuring, KFTC can levy sizeable administrative fines for legal violations, as well as for failure to cooperate with investigators. Decisions by KFTC are appealable in the Korean court system. As part of KORUS implementation, KFTC instituted a consent decree process in 2014, which it continues to refine. A number of U.S. firms have raised concerns that KFTC has targeted foreign companies with disproportionate enforcement efforts (e.g., not basing remedies on the conduct involved). U.S. firms have also expressed concerns under KORUS about KFTC’s procedures and practices which inhibit the ability of companies to adequately defend themselves during investigatory proceedings and hearings. The United States has had extensive discussions with KFTC regarding the right of companies to reasonably access and rebut evidence used to determine if companies have violated Korea’s competition laws. In 2019, the United States requested and held formal consultations with Korea under the Competition Chapter of KORUS to discuss these concerns. In September 2020, an amendment to the Monopoly Regulation and Fair Trade Act (MRFTA) was introduced which would expand the rights of affected parties to view or copy data related to KFTC",34,KOREA
OTHER BARRIERS,Motor Vehicles,34,KOREA
Motor Vehicles,"Increased access to Korea’s automotive market for U.S. automakers remains a key priority for the United States. As one of the outcomes related to the 2018 KORUS amendment negotiations, Korea committed to complete the harmonization of its emission requirements and testing standards for gasoline engine vehicles with EPA requirements and standards, thereby allowing vehicles exported to Korea to comply with Korea’s fuel emission standards using the same tests they conduct to show compliance in the United States. U.S. automobile exports to Korea increased by over 309 percent from 2012 to 2020, from $617 million in 2012 to $2.5 billion in 2020. In February 2021, Korea adopted final regulations for the next tranche of its CO /CAFE targets, which 2 cover the years 2021 to 2030. U.S.-owned automobile manufacturers have voiced concerns that these regulations will be onerous for their products, in particular due to the divergence between Korea’s CO /CAFE requirements and the corresponding U.S. requirements. 2 Industry has also raised concerns about the Emission Related Components modifications and enforcement actions taken against vehicle manufacturers by Korean regulatory bodies. Under Korea’s Clean Air Conservation Act, vehicle manufacturers and importers are required to obtain MOE modification certifications or prepare modification reports even for insignificant changes. The automobile industry has expressed concern about ambiguity between certification and reporting. Industry contends both requirements are burdensome because import documentation must reflect all changes made by component suppliers before a vehicle arrives in Korea. Automakers also have noted that violations with respect to imports could be subject to criminal investigation by Korea’s customs authorities, which lack authority to investigate domestically manufactured vehicles. Automobile importers have called for MOE to revise the regulations to eliminate these trade barriers. The U.S. Government will follow these and other issues closely to ensure further increased access of U.S. vehicles to Korea’s automobile market.",34,KOREA
Pharmaceuticals and Medical Devices,"The United States continues to urge Korea to ensure that pharmaceutical reimbursement is conducted in a fair, transparent, and nondiscriminatory manner that recognizes the value of innovation. Nevertheless, the U.S. innovative pharmaceutical and medical device industries continue to report concerns regarding a lack of transparency and predictability in Korea’s pricing and reimbursement policies, as well as in Korea’s underlying methodology for determining reimbursement rates. On July 7, 2016, Korea enacted provisions for innovative pharmaceutical companies to apply for “premium pricing” for innovative products, although the criteria for the program raised concerns of discrimination favoring domestic pharmaceutical companies. As one of the outcomes of the 2018 KORUS amendment negotiations, Korea agreed to revise the program to remove discriminatory criteria and ensure compliance 334 | FOREIGN TRADE BARRIERS",34,KOREA
TRADE SUMMARY,"The U.S. goods trade surplus with Kuwait was $1.6 billion in 2020, a 9.7 percent decrease ($170 million) over 2019. U.S. goods exports to Kuwait were $2.2 billion, down 29.3 percent ($931 million) from the previous year. Corresponding U.S. imports from Kuwait were $657 million, down 53.7 percent. Kuwait was the United States’ 57th largest goods export market in 2020. Sales of services in Kuwait by majority U.S.-owned affiliates were $863 million in 2018 (latest data available), while sales of services in the United States by majority Kuwait-owned firms were $735 million. U.S. foreign direct investment in Kuwait (stock) was $398 million in 2019, a 20.2 percent decrease from 2018.",35,KUWAIT
TRADE AGREEMENTS,The United States–Kuwait Trade and Investment Framework Agreement,35,KUWAIT
The United States–Kuwait Trade and Investment Framework Agreement,The United States and Kuwait signed a Trade and Investment Framework Agreement (TIFA) in February 2004. This Agreement is the primary mechanism for discussions of trade and investment issues between the United States and Kuwait.,35,KUWAIT
IMPORT POLICIES,Tariffs and Taxes,35,KUWAIT
Tariffs and Taxes,Tariffs,35,KUWAIT
Non-Tariff Barriers,Import Bans and Import Licensing,35,KUWAIT
TECHNICAL BARRIERS TO TRADE,Technical Barriers to Trade,35,KUWAIT
Technical Barriers to Trade,Halal Regulations,35,KUWAIT
GOVERNMENT PROCUREMENT,"Public Tenders Law No. 49 of 2016 regulates government procurement and requires that any procurement with a value greater than KD 75,000 (approximately $250,000) be conducted through the Central Agency for Public Tenders, with the exception of Kuwait Petroleum Corporation contracts up to KD 5 million (approximately $16.5 million). Ministry of Interior, Defense and National Guard contracts are also exempted. Kuwait provides a 15 percent price preference for domestic and GCC goods and requires foreign contractors to purchase at least 30 percent of their inputs domestically and to subcontract at least 30 percent of the work to domestic contractors where available. The process that manufacturers must undertake to pre-qualify new technologies by the government is lengthy and burdensome, and lacks transparency. Kuwait is neither a Party to the WTO Agreement on Government Procurement (GPA) nor an observer to the WTO Committee on Government Procurement.",35,KUWAIT
INTELLECTUAL PROPERTY PROTECTION,"In 2020, Kuwait moved from the Special 301 Report Priority Watch List to the Watch List. Kuwait took steps to reform its system of copyright protection and enforcement by passing the 2019 Copyright and Related Rights Law and the related implementing regulations, as well as increasing IP enforcement by Kuwaiti officials. Some provisions of the new copyright law remain unclear, such as ambiguities in certain definitions and the scope of protection. The United States has acknowledged that IP enforcement increased in 2020, but improvements in Kuwait’s enforcement efforts are still needed, especially regarding enhanced outreach and communication with trademark and copyright owners, implementation of a modern customs recordation system, and the coordination of investigations and enforcement actions between enforcement authorities. As GCC Member States explore further harmonization of their IP regimes, the United States will continue to engage with GCC institutions and the Member States and provide technical cooperation and capacity building programs on IP best practices, as appropriate and consistent with U.S. resources and objectives. FOREIGN TRADE BARRIERS | 339",35,KUWAIT
SERVICES BARRIERS,Financial Services,35,KUWAIT
Financial Services,"Foreign bank members of the Kuwait Banking Association may operate in Kuwait. However, foreign banks are subject to a maximum credit concentration equivalent to 20 times the amount allocated for the branch’s operations and are expressly prohibited from directing clients to borrow from their offshore branches or taking any other measures to facilitate such borrowing.",35,KUWAIT
Telecommunications Services,"Although Kuwait’s telecommunications industry is technically open to private investment, in practice the government maintains extensive ownership in the sector and controls licensing and infrastructure development. Kuwait’s telecommunications law gives authorities sweeping power to revoke licenses and block content, with little judicial oversight.",35,KUWAIT
INVESTMENT BARRIERS,Limitations on Foreign Equity Participation,35,KUWAIT
Limitations on Foreign Equity Participation,"Foreign investment is not allowed in projects involving oil and gas exploration and production. Although Kuwait allows foreign firms to participate in some midstream and downstream activities in the oil and gas sector, investors in this sector have faced numerous challenges. The Ministry of Commerce and Industry and the Kuwait Direct Investment Promotion Authority (KDIPA) have been working to streamline the process for foreign investors to obtain commercial and investment licenses, improve regulatory transparency, raise awareness of the importance of foreign investment, resolve commercial disputes that foreign companies have with the government, and improve the country’s overall investment climate. KDIPA also provides a legal avenue whereby a foreign corporation may establish a wholly owned foreign enterprise in Kuwait. Notwithstanding these efforts, major barriers to foreign investment persist. These include: regulations prohibiting foreigners from investing in real estate and publishing; long delays associated with starting new enterprises; difficulty in identifying a required local sponsor and agent; and obstacles created by a business culture heavily influenced by clan and family relationships. 340 | FOREIGN TRADE BARRIERS",35,KUWAIT
TRADE SUMMARY,"The U.S. goods trade deficit with Laos was $80 million in 2020, a 38.7 percent decrease ($51 million) over 2019. U.S. goods exports to Laos were $25 million, up 45.0 percent ($8 million) from the previous year. Corresponding U.S. imports from Laos were $105 million, down 29.0 percent. Laos was the United States’ 183rd largest goods export market in 2020.",36,LAOS
TRADE AGREEMENTS,The United States–Laos Trade and Investment Framework Agreement,36,LAOS
The United States–Laos Trade and Investment Framework Agreement,"The United States and Laos signed a Trade and Investment Framework Agreement (TIFA) on February 17, 2016. This Agreement is the primary mechanism for discussions of trade and investment issues between the United States and Laos.",36,LAOS
IMPORT POLICIES,Tariffs and Taxes,36,LAOS
Tariffs and Taxes,Tariffs,36,LAOS
Non-Tariff Barriers,Import Licensing and Restrictions,36,LAOS
TECHNICAL BARRIERS TO TRADE,Vehicles,36,LAOS
GOVERNMENT PROCUREMENT,Laos is neither a Party to the WTO Agreement on Government Procurement (GPA) nor an observer to the WTO Committee on Government Procurement.,36,LAOS
INTELLECTUAL PROPERTY PROTECTION,"With U.S. Government assistance, Laos continues to work to establish an effective system for civil and criminal enforcement of intellectual property (IP). Laos continues to improve its IP regime, including by issuing regulations to implement its Law on Intellectual Property, and continues to increase public awareness and media coverage of the harm caused by counterfeit goods and the impact of copyright piracy on local content industries. However, counterfeit and pirated goods continue to be available in Lao marketplaces. The United States will continue to engage with Laos under the TIFA and other dialogues to urge Laos to take steps to further improve IP protection and enforcement, including through joining international IP",36,LAOS
SERVICES BARRIERS,"Foreign services suppliers continue to face difficulties in many service sectors in Laos, including financial, medical, postal, and telecommunications services, as well as some leasing, media, and transportation services. Laos opened most other service sectors to U.S. service suppliers through the 2005 United States– Laos Bilateral Trade Agreement. 342 | FOREIGN TRADE BARRIERS",36,LAOS
Financial Services,"In November 2017, the National Assembly passed the Law on National Payments. The law establishes a Payment Systems Department in the Bank of the Lao PDR (BoL). This Department is responsible for developing a series of decrees to regulate and reform payment systems in Laos, including the possible establishment of a national electronic payments gateway. BoL issued the Decision on Retail Payment Systems No. 293/BoL in April 2019, which imposed licensing and reporting requirements on retail electronic payment providers. The Lao Government has indicated plans to draft an additional decision that would set criteria and conditions for payment services supplied in Laos, including on a cross-border basis. The U.S. Government continues to closely monitor Laos’ development of regulations in the area of electronic payments, with a view towards ensuring that the measures adopted facilitate competition and a level playing field for U.S. electronic payment service suppliers. On June 1, 2020, the BoL officially launched its Lao Payment and Settlement System (LaPASS). The BoL",36,LAOS
INVESTMENT BARRIERS,"Laos has a challenging investment climate due to concerns about corruption, difficulties in enforcing contracts, an underdeveloped judicial system, overlapping and often contradictory regulations, and limited access to financial services. Domestic ownership and partnership requirements vary by industry, and administrative processes for obtaining investment licenses are often inconsistent or inefficient. Laos requires an annually renewable business license, receipt of which is contingent on a certification that all taxes have been paid. However, the Lao Government often assesses taxes in an unpredictable manner. In February 2018, Prime Minister Thongloun Sisoulith issued an order laying out specific steps for various ministries to take in order to improve the business environment, some of which have resulted in measurable improvements including decreasing the time required to obtain a business license. Nonetheless, broad reforms aimed at improving the business environment have been largely unsuccessful.",36,LAOS
BARRIERS TO DIGITAL TRADE AND ELECTRONIC COMMERCE,"Laos issued Decree 327 on Information Management on the Internet in 2014, which creates legal vulnerabilities for U.S. internet services suppliers operating in Laos. Under the Decree, “website managers” may be required to actively monitor content posted to their site and may be held legally liable for content on their site, even if that content was created by a third party. For websites that depend on user-generated content, such as social networks, customer review sites, and online forums, this decree creates legal exposure and uncertainty.",36,LAOS
OTHER BARRIERS,Bribery and Corruption,36,LAOS
Bribery and Corruption,"Corruption remains a barrier for U.S. businesses seeking to operate in or trade with Laos. However, current government leadership has prioritized anticorruption efforts. Laos has improved transparency in its domestic lawmaking process, including with the opening of the Ministry of Justice Electronic Official Gazette in 2013. In accordance with the 2012 Law on Making Legislation, drafts of all new laws and regulations must be published on the Gazette for at least 60 days. In 2018, with the support of the United States, Laos released a “Lao Law” smart phone app, which allows the public to download a free platform FOREIGN TRADE BARRIERS | 343 to accesses all the laws and regulations found on the Ministry of Justice’s Electronic Official Gazette. This development offers investors, entrepreneurs, and the public a more accessible and user-friendly platform for learning about Lao law. However, not all government agencies publish their laws and regulations online, and there remain limited opportunities for shaping draft legislation. 344 | FOREIGN TRADE BARRIERS",36,LAOS
TRADE SUMMARY,"The U.S. goods trade deficit with Malaysia was $31.7 billion in 2020, a 15.7 percent increase ($4.3 billion) over 2019. U.S. goods exports to Malaysia were $12.5 billion, down 5.3 percent ($693 million) from the previous year. Corresponding U.S. imports from Malaysia were $44.2 billion, up 8.9 percent. Malaysia was the United States’ 22nd largest goods export market in 2020. U.S. exports of services to Malaysia were an estimated $3.1 billion in 2019 and U.S. imports were $2.4 billion. Sales of services in Malaysia by majority U.S.-owned affiliates were $8.2 billion in 2018 (latest data available), while sales of services in the United States by majority Malaysia-owned firms were $609 million. U.S. foreign direct investment (FDI) in Malaysia (stock) was $10.8 billion in 2019, a 0.2 percent decrease from 2018. There is no information on the distribution of U.S. FDI in Malaysia.",37,MALAYSIA
TRADE AGREEMENTS,The United States–Malaysia Trade and Investment Framework Agreement,37,MALAYSIA
The United States–Malaysia Trade and Investment Framework Agreement,"The United States and Malaysia signed a Trade and Investment Framework Agreement (TIFA) on May 10, 2004. This Agreement is the primary mechanism for discussions of trade and investment issues between the United States and Malaysia.",37,MALAYSIA
IMPORT POLICIES,Tariffs and Taxes,37,MALAYSIA
Tariffs and Taxes,Tariffs,37,MALAYSIA
Non-Tariff Barriers,Import Licensing,37,MALAYSIA
TECHNICAL BARRIERS TO TRADE / SANITARY AND PHYTOSANITARY BARRIERS,Technical Barriers to Trade,37,MALAYSIA
Technical Barriers to Trade,Halal Regulations Meat and Poultry Products,37,MALAYSIA
Sanitary and Phytosanitary Barriers,Agricultural Biotechnology,37,MALAYSIA
SUBSIDIES,Export Subsidies,37,MALAYSIA
Export Subsidies,"Malaysia maintains several programs that appear to provide subsidies for exports, distinct from the pioneer status and investment tax allowance programs previously listed in Malaysia’s subsidies notifications to the WTO. For example, the NAP provides an income tax exemption for high value-added exports of motor vehicles and parts based on the percentage increase in the value-added of exports. Moreover, there appear to be a number of other subsidy programs providing tax benefits based on export performance, such as the Income Tax Exemption Based on the Value of Increased Exports and the Deduction for the Promotion of FOREIGN TRADE BARRIERS | 347 Exports programs, which Malaysia has not addressed in its WTO subsidies notifications. The United States continues to raise concerns with Malaysia about these and other policies through the WTO Subsidies Committee and the WTO Trade Policy Review Body. While Malaysia has promised to make a greater effort to notify all of its subsidy programs, its responses to questions remain incomplete.",37,MALAYSIA
GOVERNMENT PROCUREMENT,"Malaysia has traditionally used government procurement contracts to support national public policy objectives, including encouraging greater participation of Bumiputera (the majority Malay ethnic group) in the economy, transferring technology to local industries, reducing the outflow of foreign exchange, creating opportunities for local companies in the services sector, and enhancing Malaysia’s export capabilities. As a result, it has generally invited international tenders only when domestic goods and services are not available, and in those cases, foreign companies often find they need to take on a local, Bumiputera- qualified partner before their tenders will be considered. Malaysia is not a Party to the WTO Agreement on Government Procurement, but has been an observer of the WTO Committee on Government Procurement since July 2012.",37,MALAYSIA
INTELLECTUAL PROPERTY PROTECTION,"In recent years, Malaysia has taken steps to enhance its intellectual property (IP) enforcement regime. However, concerns remain in a number of areas. Pirated and counterfeit goods are widely available, as highlighted by the continued inclusion of Petaling Street Market in Kuala Lumpur on the Notorious Markets List. Other concerns include unauthorized camcording sourced to Malaysian cinemas, online and book piracy, and issues related to pharmaceutical patents. The United States has urged Malaysia to continue its efforts to improve protection against unfair commercial use, as well as unauthorized disclosure, of undisclosed test or other data generated to obtain marketing approval for pharmaceutical products, and to enhance criminal sanctions for trade secret theft and misappropriation. In April 2020, the United States extended the Special 301 Out-of-Cycle Review for consideration of the extent to which Malaysia is providing adequate and effective IP rights protection and enforcement, including with respect to patents.",37,MALAYSIA
SERVICES BARRIERS,Audiovisual Services,37,MALAYSIA
Audiovisual Services,"Foreign investment in cable and satellite platforms is permitted through joint ventures, with foreign equity capped at 30 percent, but there are no foreign direct investment restrictions on the wholesale supply of pay television programming. Malaysia prohibits foreign investment in terrestrial broadcast networks.",37,MALAYSIA
Distribution Services,"Malaysia allows 100 percent foreign ownership of department and specialty stores. However, larger foreign-owned retailers (“hypermarkets”) and locally incorporated direct selling companies must still have 30 percent Bumiputera equity. Malaysia also requires department stores, supermarkets, and hypermarkets to reserve at least 30 percent of shelf space for goods and products manufactured by Bumiputera-owned small and medium-sized enterprises. To support development of the online retail or electronic commerce sector, Malaysia allows 100 percent foreign equity participation in courier services. 348 | FOREIGN TRADE BARRIERS",37,MALAYSIA
Financial Services,Best Interest Test,37,MALAYSIA
Professional Services,Engineering Services,37,MALAYSIA
Telecommunications Services,"Despite limited WTO commitments in the telecommunications services sector, Malaysia allows 100 percent foreign equity participation in a license category of particular interest to foreign suppliers called “application service providers” (i.e., suppliers who do not own underlying transmission facilities). However, Malaysia has not allowed equal liberalization of the network facilities provider or network service provider license categories. Only 70 percent foreign participation is permitted in those categories, although in certain instances Malaysia has allowed greater equity participation. The Malaysian Government expected to liberalize these categories fully in 2020 as part of the National Fiberisation and Connectivity Plan (NFCP); however, the change in government in March led the NFCP to drop these changes in favor of the National Digital Infrastructure Plan (NDIP). It is not yet clear whether the NDIP will include further liberalization of these subsectors.",37,MALAYSIA
Oil and Gas Services,"Malaysia is in the process of adopting market-based gas pricing as Petroliam Nasional Bhd (Petronas) aims to ensure sustainability of Malaysia’s gas industry. To this end, Petronas has opened its receiving terminal for Liquefied Natural Gas (LNG) and facilitated the provision of Third-Party Access for gas pipeline terminals and LNG regasification terminals. 350 | FOREIGN TRADE BARRIERS",37,MALAYSIA
INVESTMENT BARRIERS,Limitations on Foreign Equity Participation,37,MALAYSIA
Limitations on Foreign Equity Participation,"Foreign investment in sectors such as retail, telecommunications, financial services, professional services, oil and gas, and mining is subject to certain restrictions. These restrictions include limitations or prohibitions on foreign equity and requirements that foreign firms enter into joint ventures with local partners. Pursuant to the National Land Code, foreigners must obtain prior approval from relevant state authorities for any acquisition of land for agricultural, residential, or commercial purposes. These authorities may impose conditions on ownership, including maximum thresholds for foreign equity in companies seeking to acquire land. Malaysia also maintains performance requirements that must be met to receive a customs waiver for manufacturing operations in foreign trade zones.",37,MALAYSIA
OTHER BARRIERS,Export Policies,37,MALAYSIA
Export Policies,Export taxes,37,MALAYSIA
TRADE SUMMARY,"The U.S. goods trade deficit with Mexico was $112.7 billion in 2020, a 11.2 percent increase ($11.3 billion) over 2019. U.S. goods exports to Mexico were $212.7 billion, down 17.1 percent ($43.9 billion) from the previous year. Corresponding U.S. imports from Mexico were $325.4 billion, down 9.1 percent. Mexico was the United States’ 2nd largest goods export market in 2020. U.S. exports of services to Mexico were an estimated $32.9 billion in 2019 and U.S. imports were $29.8 billion. Sales of services in Mexico by majority U.S.-owned affiliates were $42.7 billion in 2018 (latest data available), while sales of services in the United States by majority Mexico-owned firms were $10.1 billion. U.S. foreign direct investment in Mexico (stock) was $100.9 billion in 2019, a 5.2 percent increase from 2018. U.S. direct investment in Mexico is led by manufacturing, finance and insurance, and nonbank holding companies.",38,MEXICO
TRADE AGREEMENTS,The United States–Mexico–Canada Agreement,38,MEXICO
The United States–Mexico–Canada Agreement,"On January 29, 2020, the President signed legislation implementing the United States–Mexico–Canada Agreement (USMCA). The USMCA entered into force on July 1, 2020, modernizing and replacing the North American Free Trade Agreement (NAFTA). The USMCA maintains the zero tariffs among the three countries that were in place under the NAFTA. The USMCA is a mutually beneficial win for North American farmers, ranchers, businesses, and workers that will support high-paying jobs for Americans and help grow the U.S. economy. It modernizes and rebalances U.S. trade relations with Mexico and Canada to benefit American workers and businesses, including by providing strong, enforceable labor and environmental obligations in the core text of the Agreement. The USMCA upgrades the NAFTA in a number of key areas, including by expanding U.S. access in Mexico for certain U.S. dairy, poultry, and egg products as well as establishing some of the strongest and most advanced provisions on intellectual property rights (IP) and digital trade ever included in a trade agreement. Finally, it also includes a number of ground-breaking provisions to combat non- market practices that have the potential to disadvantage U.S. workers and businesses, such as currency manipulation and the provision of subsidies to state-owned enterprises.",38,MEXICO
IMPORT POLICIES,Non-Tariff Barriers,38,MEXICO
Non-Tariff Barriers,Import Licensing,38,MEXICO
TECHNICAL BARRIERS TO TRADE / SANITARY AND PHYTOSANITARY BARRIERS,Technical Barriers to Trade,38,MEXICO
Technical Barriers to Trade,Implementation of USMCA Technical Barriers to Trade Obligations,38,MEXICO
Sanitary and Phytosanitary Barriers,Fresh Potatoes,38,MEXICO
GOVERNMENT PROCUREMENT,"On December 1, 2018, Mexico announced plans to centralize almost all federal government procurement under the Secretariat of Finance, with the goal of curbing corruption, reducing bureaucratic inefficiencies, and achieving lower prices through consolidated purchasing. The state-operated oil company, Pemex, and the Federal Electricity Commission (CFE) were exempted from the centralization due to their designations as “productive companies of the state.” The Mexican armed forces were also exempted, on national security grounds. The Secretariat of Finance announced June 28, 2019, that 61.2 percent of bids for medicine and medical supplies destined for government and public hospitals and clinics via the Secretariat of Health and Mexican Social Security Institute (IMSS) either did not receive bids or Hacienda considered the bids invalid. U.S. exporters expressed concern the procurement process was less transparent than in previous years and did not provide adequate preparation time. U.S. companies expressed similar concerns that the 2020 procurement cycle did not have adequate preparation time and there were multiple uncoordinated tenders announced. In addition, for certain construction projects there has been an increase in direct awards for government contracts. In August 2020, the Mexican Congress approved an amendment to Article 1 of Mexico’s procurement law to allow direct procurement of pharmaceutical products and medical devices, including from international institutions such as UNOPS. In late 2020, Mexico began large procurements of medicines directly from UNOPS. The United States will continue to engage with Mexico to ensure that these procurements and all amendments to the law are in accordance with the USMCA procurement obligations. Mexico is neither a Party to the WTO Agreement on Government Procurement nor an observer to the WTO",38,MEXICO
INTELLECTUAL PROPERTY PROTECTION,"Mexico was listed on the Watch List in the Special 301 Report. As described in that report, obstacles to U.S. trade in IP-intensive goods and services include the wide availability of pirated and counterfeit goods, via both physical and virtual markets. As broadband access increases, digital IP crimes have been at the forefront of IP violations. The online availability of copies of new-release movies sourced from Mexico is a particular concern. Overall criminal enforcement of IP rights, including online, continues to be characterized by weak coordination among federal, state, and municipal officials; limited resources for prosecutions; the lack of long-term sustained investigations targeting suppliers of counterfeit and pirated 360 | FOREIGN TRADE BARRIERS",38,MEXICO
SERVICES BARRIERS,Audiovisual Services,38,MEXICO
Audiovisual Services,"Pay television is an important outlet for foreign programmers and continues to be subject to more stringent advertising restrictions than free-to-air broadcast television, which is supplied by domestic operators. Television programmers have long been allowed to follow the industry practice of inserting up to 12 minutes per hour for advertising without exceeding 144 minutes per day, a practice upheld by Mexico’s court in 2015 as consistent with Mexico’s statutes. In February 2020, IFT published an opinion at odds with the 2015 court decision and long-standing practice. As IFT did not go through standard regulatory rulemaking, the intent and legal effect of the opinion is unclear, and it has created uncertainty in the market that disproportionately affects U.S. stakeholders. IFT should resolve this issue by affirming the legality of existing practices, consistent with the 2015 court decision. Mexico prohibited foreign investment in its broadcasting sector until the 2014 telecommunications reform allowed for up to 49 percent foreign equity in Mexican broadcasting enterprises. However, actual investment is limited to the share permitted for Mexican broadcasting investment in the company’s country of origin. To enhance competition, Televisa was declared a “preponderant agent” in the free-to-air television broadcasting market and is therefore subject to tougher regulation, including the requirement to share its broadcasting infrastructure with competitors. The United States is monitoring telecommunications and audiovisual reform legislation introduced in November 2019, which includes local content quotas, and related legislative initiatives, for consistency with the USMCA. FOREIGN TRADE BARRIERS | 361",38,MEXICO
